"Animal","Caption","Age","Gender","Ethnicity","Schooling","RecaptchaScore","Duration","Socials","Survey_01","Survey_02","Survey_03","Survey_04","Survey_05","Survey_06","Survey_07","Survey_08","Survey_09","Survey_10","Survey_11","Survey_12","One_word_comment"
"gorilla","no context",47,1,1,4,1,228,"1,2,5",1,4,4,4,1,5,2,4,1,5,4,4,"Calm"
"loris","no context",35,1,4,4,1,243,"1,2",3,4,4,4,5,2,4,3,2,2,4,4,"good"
"loris","no context",35,1,4,4,1,243,"1,2",3,4,4,4,5,2,4,3,2,2,4,4,"good"
"loris","informative",51,2,1,5,1,212,"1,2,3,4,5,6",4,4,4,4,4,4,4,4,4,4,4,4,"Good"
"gorilla","informative",25,2,1,5,1,416,"1,2,3,5",3,3,3,3,3,3,3,3,3,3,3,3,"like"
"gorilla","no context",25,2,1,4,1,220,"1,2,3,4,5",4,4,4,5,4,4,3,5,3,5,4,4,"kingkong"
"gorilla","informative",34,2,3,3,1,375,"1,2,3",5,4,2,4,5,5,5,4,5,4,4,5,"One of the Mountain Research in gorilla"
"gorilla","informative",53,1,1,4,1,605,"1,2,3",2,4,3,4,4,3,2,4,2,4,4,4,"wild life"
"gorilla","no context",36,1,1,5,1,237,"1,2,3",4,4,4,4,4,5,4,4,4,5,4,4,"save wildlife"
"gorilla","no context",44,2,1,4,1,204,"1,3",2,4,5,2,1,5,2,4,1,5,2,1,"photoshopped "
"loris","no context",25,2,1,4,1,950,"1,2,3,4,5",2,3,3,4,4,2,4,4,4,5,5,4,"The post is nice"
"gorilla","no context",29,2,1,4,1,546,"1,2,3",4,3,3,4,3,4,3,3,2,4,4,4,"SAVE WILDLIFE"
"gorilla","informative",48,1,1,4,1,286,"1,2",4,4,4,4,4,4,4,4,4,4,4,4,"I feel happy to see the picture"
"gorilla","informative",30,1,1,4,1,179,"2",1,1,1,1,1,1,1,1,1,1,1,1,"gorilla"
"gorilla","informative",29,2,5,4,1,188,"1,2,3,4,5",5,5,5,5,5,5,5,4,5,5,5,5,"nice"
"loris","informative",48,1,1,5,1,510,"1,2,3,4,5",4,4,4,4,4,4,4,4,4,4,4,4,"SO GOOD"
"loris","informative",44,2,4,4,1,796,"1,2,3",3,5,4,5,1,4,2,1,2,5,5,5,"pity"
"loris","informative",51,2,2,4,1,661,"1,2,3",5,2,4,4,5,4,5,4,5,4,5,4,"the animal feeling face not bad"
"gorilla","no context",26,2,6,4,1,250,"2",4,4,4,5,1,5,2,5,1,5,2,5,"jungle"
"loris","no context",30,1,1,4,1,147,"1,2,3",4,4,4,2,4,2,4,5,4,4,4,2,"Research"
"gorilla","informative",30,1,5,2,1,794,"2",3,3,4,4,4,3,4,4,3,4,3,4,"NOTHING"
